CME;AD    ;202204;20210805;20220408;20220408;20220408;20220409;1CMEAD    ;202206
CME;AD    ;202205;20210805;20220506;20220506;20220506;20220507;1CMEAD    ;202206
CME;AD    ;202206;20210805;20220603;20220603;20220603;20220604;1CMEAD    ;202206
CME;AD    ;202207;20210805;20220708;20220708;20220708;20220709;1CMEAD    ;202209
CME;AD    ;202208;20210805;20220805;20220805;20220805;20220806;1CMEAD    ;202209
CME;AD    ;202209;20210805;20220909;20220909;20220909;20220910;1CMEAD    ;202209
CME;AD    ;202210;20210805;20221007;20221007;20221007;20221008;1CMEAD    ;202212
CME;AD    ;202211;20210805;20221104;20221104;20221104;20221105;1CMEAD    ;202212
CME;AD    ;202212;20210805;20221209;20221209;20221209;20221210;1CMEAD    ;202212
CME;BP    ;202112;20201019;20211203;20211203;20211203;20211204;1CMEBP    ;202112
CME;BP    ;202201;20210805;20220107;20220107;20220107;20220108;1CMEBP    ;202203
CME;BP    ;202202;20210805;20220204;20220204;20220204;20220205;1CMEBP    ;202203
CME;BP    ;202203;20210805;20220304;20220304;20220304;20220305;1CMEBP    ;202203
CME;BP    ;202204;20210805;20220408;20220408;20220408;20220409;1CMEBP    ;202206
CME;BP    ;202205;20210805;20220506;20220506;20220506;20220507;1CMEBP    ;202206
CME;BP    ;202206;20210805;20220603;20220603;20220603;20220604;1CMEBP    ;202206
CME;BP    ;202207;20210805;20220708;20220708;20220708;20220709;1CMEBP    ;202209
CME;BP    ;202208;20210805;20220805;20220805;20220805;20220806;1CMEBP    ;202209
CME;BP    ;202209;20210805;20220909;20220909;20220909;20220910;1CMEBP    ;202209
CME;BP    ;202210;20210805;20221007;20221007;20221007;20221008;1CMEBP    ;202212
CME;BP    ;202211;20210805;20221104;20221104;20221104;20221105;1CMEBP    ;202212
CME;BP    ;202212;20210805;20221209;20221209;20221209;20221210;1CMEBP    ;202212
CME;CD    ;202112;20201019;20211203;20211203;20211203;20211204;1CMECD    ;202112
CME;CD    ;202201;20210805;20220107;20220107;20220107;20220108;1CMECD    ;202203
CME;CD    ;202202;20210805;20220204;20220204;20220204;20220205;1CMECD    ;202203
CME;CD    ;202203;20210805;20220304;20220304;20220304;20220305;1CMECD    ;202203
CME;CD    ;202204;20210805;20220408;20220408;20220408;20220409;1CMECD    ;202206
CME;CD    ;202205;20210805;20220506;20220506;20220506;20220507;1CMECD    ;202206
CME;CD    ;202206;20210805;20220603;20220603;20220603;20220604;1CMECD    ;202206
CME;CD    ;202207;20210805;20220708;20220708;20220708;20220709;1CMECD    ;202209
CME;CD    ;202208;20210805;20220805;20220805;20220805;20220806;1CMECD    ;202209
CME;CD    ;202209;20210805;20220909;20220909;20220909;20220910;1CMECD    ;202209
CME;CD    ;202210;20210805;20221007;20221007;20221007;20221008;1CMECD    ;202212
CME;CD    ;202211;20210805;20221104;20221104;20221104;20221105;1CMECD    ;202212
CME;CD    ;202212;20210805;20221209;20221209;20221209;20221210;1CMECD    ;202212
CME;EC    ;202112;20201019;20211203;20211203;20211203;20211204;1CMEEC    ;202112
CME;EC    ;202201;20210805;20220107;20220107;20220107;20220108;1CMEEC    ;202203
CME;EC    ;202202;20210805;20220204;20220204;20220204;20220205;1CMEEC    ;202203
CME;EC    ;202203;20210805;20220304;20220304;20220304;20220305;1CMEEC    ;202203
