CBTAG    ;0;190000;1;074500;0
CBTAG    ;1;083000;1;131500;1
CBTAG    ;1;190000;2;074500;0
CBTAG    ;2;083000;2;131500;1
CBTAG    ;2;190000;3;074500;0
CBTAG    ;3;083000;3;131500;1
CBTAG    ;3;190000;4;074500;0
CBTAG    ;4;083000;4;131500;1
CBTAG    ;4;190000;5;074500;0
CBTAG    ;5;083000;5;131500;1
CBTIR    ;0;072000;1;140000;1
CBTIR    ;0;170000;1;160000;1
CBTIR    ;1;072000;2;140000;1
CBTIR    ;1;170000;2;160000;1
CBTIR    ;2;072000;3;140000;1
CBTIR    ;2;170000;3;160000;1
CBTIR    ;3;072000;4;140000;1
CBTIR    ;3;170000;4;160000;1
CBTIR    ;4;072000;5;140000;1
CBTIR    ;4;170000;5;160000;1
CBTME    ;0;180000;1;170000;1
CBTME    ;1;200000;2;170000;1
CBTME    ;2;200000;3;170000;1
CBTME    ;3;200000;4;170000;1
CBTME    ;4;200000;5;170000;1
CBTYC    ;0;190000;1;074500;0
CBTYC    ;1;083000;1;134500;1
CBTYC    ;1;190000;2;074500;0
CBTYC    ;2;083000;2;134500;1
CBTYC    ;2;190000;3;074500;0
CBTYC    ;3;083000;3;134500;1
CBTYC    ;3;190000;4;074500;0
CBTYC    ;4;083000;4;134500;1
CBTYC    ;4;190000;5;074500;0
CBTYC    ;5;083000;5;134500;1
CMEAG    ;1;083000;1;130500;1
CMEAG    ;2;083000;2;130500;1
CMEAG    ;3;083000;3;130500;1
CMEAG    ;4;083000;4;130500;1
CMEAG    ;5;083000;5;130500;1
CMECNK   ;0;170000;1;151500;0
CMECNK   ;1;153000;1;161500;1
CMECNK   ;1;170000;2;151500;0
CMECNK   ;2;153000;2;161500;1
CMECNK   ;2;170000;3;151500;0
CMECNK   ;3;153000;3;161500;1
CMECNK   ;3;170000;4;151500;0
CMECNK   ;4;153000;4;161500;1
CMECNK   ;4;170000;5;151500;0
CMECNK   ;5;153000;5;161500;1
CMEED    ;0;170000;1;160000;1
CMEED    ;1;170000;2;160000;1
CMEED    ;2;170000;3;160000;1
CMEED    ;3;170000;4;160000;1
CMEED    ;4;170000;5;160000;1
CMEEI    ;0;170000;1;160000;1
CMEEI    ;1;170000;2;160000;1
CMEEI    ;2;170000;3;160000;1
CMEEI    ;3;170000;4;160000;1
CMEEI    ;4;170000;5;160000;1
CMEEQ    ;0;170000;1;081500;0
CMEEQ    ;1;083000;1;151500;1
CMEEQ    ;1;153000;1;161500;1
CMEEQ    ;1;170000;2;081500;0
CMEEQ    ;2;083000;2;151500;1
CMEEQ    ;2;153000;2;161500;1
CMEEQ    ;2;170000;3;081500;0
CMEEQ    ;3;083000;3;151500;1
CMEEQ    ;3;153000;3;161500;1
CMEEQ    ;3;170000;4;081500;0
CMEEQ    ;4;083000;4;151500;1
CMEEQ    ;4;153000;4;161500;1
CMEEQ    ;4;170000;5;081500;0
CMEEQ    ;5;083000;5;151500;1
CMEEQ    ;5;153000;5;161500;1
CMEFX    ;0;170000;1;160000;1
CMEFX    ;1;170000;2;160000;1
CMEFX    ;2;170000;3;160000;1
CMEFX    ;3;170000;4;160000;1
CMEFX    ;4;170000;5;160000;1
CMXME    ;0;180000;1;171500;1
CMXME    ;1;180000;2;171500;1
CMXME    ;2;180000;3;171500;1
CMXME    ;3;180000;4;171500;1
CMXME    ;4;180000;5;171500;1
CSCCC    ;1;044500;1;133000;1
CSCCC    ;2;044500;2;133000;1
CSCCC    ;3;044500;3;133000;1
CSCCC    ;4;044500;4;133000;1
CSCCC    ;5;044500;5;133000;1
CSCKC    ;1;041500;1;133000;1
CSCKC    ;2;041500;2;133000;1
CSCKC    ;3;041500;3;133000;1
CSCKC    ;4;041500;4;133000;1
CSCKC    ;5;041500;5;133000;1
CSCSB    ;1;033000;1;130000;1
CSCSB    ;2;033000;2;130000;1
CSCSB    ;3;033000;3;130000;1
CSCSB    ;4;033000;4;130000;1
CSCSB    ;5;033000;5;130000;1
HKF      ;1;091500;1;120000;0
HKF      ;1;130000;1;163000;1
HKF      ;1;171500;2;030000;1
HKF      ;2;091500;2;120000;0
HKF      ;2;130000;2;163000;1
HKF      ;2;171500;3;030000;1
HKF      ;3;091500;3;120000;0
HKF      ;3;130000;3;163000;1
HKF      ;3;171500;4;030000;1
HKF      ;4;091500;4;120000;0
HKF      ;4;130000;4;163000;1
HKF      ;4;171500;5;030000;1
HKF      ;5;091500;5;120000;0
HKF      ;5;130000;5;163000;1
HKF      ;5;171500;6;030000;1
HKFCUS   ;1;083000;1;163000;1
HKFCUS   ;1;171500;2;030000;1
HKFCUS   ;2;083000;2;163000;1
HKFCUS   ;2;171500;3;030000;1
HKFCUS   ;3;083000;3;163000;1
HKFCUS   ;3;171500;4;030000;1
HKFCUS   ;4;083000;4;163000;1
HKFCUS   ;4;171500;5;030000;1
HKFCUS   ;5;083000;5;163000;1
HKFCUS   ;5;171500;6;030000;1
HKFDH    ;1;091500;1;120000;0
HKFDH    ;1;130000;1;163000;1
HKFDH    ;2;091500;2;120000;0
HKFDH    ;2;130000;2;163000;1
HKFDH    ;3;091500;3;120000;0
HKFDH    ;3;130000;3;163000;1
HKFDH    ;4;091500;4;120000;0
HKFDH    ;4;130000;4;163000;1
HKFDH    ;5;091500;5;120000;0
HKFDH    ;5;130000;5;163000;1
HKFGDU   ;1;083000;1;163000;1
HKFGDU   ;1;171500;2;030000;1
HKFGDU   ;2;083000;2;163000;1
HKFGDU   ;2;171500;3;030000;1
HKFGDU   ;3;083000;3;163000;1
HKFGDU   ;3;171500;4;030000;1
HKFGDU   ;4;083000;4;163000;1
HKFGDU   ;4;171500;5;030000;1
HKFGDU   ;5;083000;5;163000;1
HKFGDU   ;5;171500;6;030000;1
HKFMCA   ;1;090000;1;163000;1
HKFMCA   ;1;171500;2;030000;1
HKFMCA   ;2;090000;2;163000;1
HKFMCA   ;2;171500;3;030000;1
HKFMCA   ;3;090000;3;163000;1
HKFMCA   ;3;171500;4;030000;1
HKFMCA   ;4;090000;4;163000;1
HKFMCA   ;4;171500;5;030000;1
HKFMCA   ;5;090000;5;163000;1
HKFMCA   ;5;171500;6;030000;1
HKFMTW   ;1;084500;1;163000;1
HKFMTW   ;1;171500;2;030000;1
HKFMTW   ;2;084500;2;163000;1
HKFMTW   ;2;171500;3;030000;1
HKFMTW   ;3;084500;3;163000;1
HKFMTW   ;3;171500;4;030000;1
HKFMTW   ;4;084500;4;163000;1
HKFMTW   ;4;171500;5;030000;1
HKFMTW   ;5;084500;5;163000;1
HKFMTW   ;5;171500;6;030000;1
HKFSTF   ;1;093000;1;160000;1
HKFSTF   ;2;093000;2;160000;1
HKFSTF   ;3;093000;3;160000;1
HKFSTF   ;4;093000;4;160000;1
HKFSTF   ;5;093000;5;160000;1
HKFTW    ;1;084500;1;134500;1
HKFTW    ;1;143000;2;030000;1
HKFTW    ;2;084500;2;134500;1
HKFTW    ;2;143000;3;030000;1
HKFTW    ;3;084500;3;134500;1
HKFTW    ;3;143000;4;030000;1
HKFTW    ;4;084500;4;134500;1
HKFTW    ;4;143000;5;030000;1
HKFTW    ;5;084500;5;134500;1
HKFTW    ;5;143000;6;030000;1
ISGDX    ;1;010000;1;220000;1
ISGDX    ;2;010000;2;220000;1
ISGDX    ;3;010000;3;220000;1
ISGDX    ;4;010000;4;220000;1
ISGDX    ;5;010000;5;220000;1
ISGEN    ;0;230000;1;220000;1
ISGEN    ;2;010000;2;220000;1
ISGEN    ;3;010000;3;220000;1
ISGEN    ;4;010000;4;220000;1
ISGEN    ;5;010000;5;220000;1
LIFFFI   ;1;010000;1;210000;1
LIFFFI   ;2;010000;2;210000;1
LIFFFI   ;3;010000;3;210000;1
LIFFFI   ;4;010000;4;210000;1
LIFFFI   ;5;010000;5;210000;1
LIFFLG   ;1;080000;1;180000;1
LIFFLG   ;2;080000;2;180000;1
LIFFLG   ;3;080000;3;180000;1
LIFFLG   ;4;080000;4;180000;1
LIFFLG   ;5;080000;5;180000;1
LIFMFS   ;0;180000;1;170000;1
LIFMFS   ;1;200000;2;170000;1
LIFMFS   ;2;200000;3;170000;1
LIFMFS   ;3;200000;4;170000;1
LIFMFS   ;4;200000;5;170000;1
LIFTF    ;0;230000;1;220000;1
LIFTF    ;2;010000;2;220000;1
LIFTF    ;3;010000;3;220000;1
LIFTF    ;4;010000;4;220000;1
LIFTF    ;5;010000;5;220000;1
MATFCE   ;1;080000;1;220000;1
MATFCE   ;2;080000;2;220000;1
MATFCE   ;3;080000;3;220000;1
MATFCE   ;4;080000;4;220000;1
MATFCE   ;5;080000;5;220000;1
NYCCT    ;0;210000;1;142000;1
NYCCT    ;1;210000;2;142000;1
NYCCT    ;2;210000;3;142000;1
NYCCT    ;3;210000;4;142000;1
NYCCT    ;4;210000;5;142000;1
NYCDX    ;0;180000;1;170000;1
NYCDX    ;1;200000;2;170000;1
NYCDX    ;2;200000;3;170000;1
NYCDX    ;3;200000;4;170000;1
NYCDX    ;4;200000;5;170000;1
NYCOJ    ;1;080000;1;140000;1
NYCOJ    ;2;080000;2;140000;1
NYCOJ    ;3;080000;3;140000;1
NYCOJ    ;4;080000;4;140000;1
NYCOJ    ;5;080000;5;140000;1
NYMEN    ;0;180000;1;171500;1
NYMEN    ;1;180000;2;171500;1
NYMEN    ;2;180000;3;171500;1
